0,Minh,Ming,267,117
1,Hai,BoiHetVaoDay,141,106
2,HGiang,Mr.Donkey,137,128
3,Thong,ThongCaTheGioi,102,117
4,TuanAnh,TA,177,147
5,Hung Le,HUNGLE,156,140
6,Hung,Hung501,100,91
7,Vu,Vu Vu,151,117
8,Truong,Gank by Wife,174,133
9,Huy,Eternity_HUY,124,133
10,Vinh,Nobita,79,124
11,Phuoc,rambo,56,109
12,Khang,Rama_MSE,172,131
13,Nam,Nam Lai,35,69
14,Tri,TRI,0,0
15,DGiang,CSC | Shinichi,17,31
16,Qui,QUI,0,0
17,Triet,Raymond,0,0
