0,Ming,Ming,1,
1,BoiHetVaoDay,BoiHetVaoDay,2,
12,Rama_MSE,Rama_MSE,3,
8,GankbyWife,Gank by Wife,4,
2,Mr.Donkey,Mr.Donkey,5,
7,VuVu,Vu Vu,6,
4,TA,TA,7,
6,Hung501,Hung501,8,
5,HUNGLE,HUNGLE,9,
9,Eternity_HUY,Eternity_HUY,10,
3,ThongCaTheGioi,ThongCaTheGioi,11,
15,Shinichi,CSC | Shinichi,12,
11,Rambo,rambo,13,
10,Nobita,Nobita,14,
13,NamLai,Nam Lai,15,
14,TRI,TRI,16,
16,QUI,QUI,17,
18, Player-Cobix,Player-Cobix,18,
17,Raymond,Raymond,19,
